customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,is_escalated,complaint_count,tenure_days,age,churn_risk,is_high_risk
4126-FNTIO,2022-02-16,Paid,2027-02-15,Standard,Annual,,,16.29,968,14,0,Suresh Lal Ahuja,India,Mizoram,Male,1963-09-17,2023-10-27,0,55.0,1.0,4.0,1674.0,63,low,0
8577-NWUPU,2022-12-14,Organic,2026-12-13,Standard,Annual,,,13.01,571,6,0,Farhan Das,India,Uttar Pradesh,Male,1979-06-22,2025-05-09,0,59.0,0.0,1.0,1373.0,47,low,0
1738-WBEBC,2023-11-09,Paid,2026-11-08,Standard,Annual,,,17.28,625,6,0,Anika Chadha,India,Meghalaya,Female,1963-05-13,,0,,,,1043.0,63,low,0
7411-NUNGN,2026-02-26,Referral,2027-02-26,Standard,Annual,,,15.66,116,6,0,Mina Kumari Sandhu,India,Manipur,Female,2002-03-17,2026-08-28,0,62.0,0.0,3.0,203.0,24,low,0
3484-RUXES,2024-07-14,Paid,2026-10-02,Premium,Monthly,,,21.13,662,57,0,Pallavi Solanki,India,Jammu and Kashmir,Female,2000-04-09,2026-01-30,0,25.0,0.0,2.0,795.0,26,med,0
3665-ELNIF,2024-09-24,Paid,2026-09-24,Basic,Annual,,,8.05,187,2,0,Usha Rani Thapar,India,Jammu and Kashmir,Female,2007-02-04,2026-08-04,0,29.0,0.0,3.0,723.0,19,low,0
8392-YCXFW,2025-07-29,Paid,2027-07-29,Premium,Annual,,,20.4,260,9,0,Devendra Prasad Pandey,India,Assam,Male,1970-11-01,2026-05-24,0,78.0,0.0,2.0,415.0,55,low,0
2447-NNMIH,2024-11-24,Paid,2025-11-12,Standard,Monthly,2025-11-12,No longer interested,17.95,232,63,1,Yogesh Kumar Reddy,India,Rajasthan,Male,2001-03-15,2025-09-22,0,45.0,1.0,4.0,353.0,25,med,0
4332-WLIOY,2024-02-19,Paid,2025-03-30,Standard,Annual,2025-03-30,No longer interested,17.76,234,43,1,Manju Yadav,India,Haryana,Female,1994-03-26,2024-09-15,0,18.0,1.0,2.0,405.0,32,low,0
3305-YQNFL,2025-12-16,Referral,2026-12-16,Premium,Annual,,,20.77,192,8,0,Gopal Sinha,India,Odisha,Male,2007-01-23,2026-06-21,0,55.0,0.0,2.0,275.0,19,low,0
8425-MYCVL,2022-08-04,Organic,2027-08-03,Basic,Annual,,,8.66,432,6,0,Shilpa Devi Subramaniam,India,Madhya Pradesh,Female,1996-03-07,,0,,,,1505.0,30,low,0
2126-AQWLB,2023-02-08,Paid,2023-06-03,Standard,Annual,2023-06-03,Too expensive,17.21,47,17,1,Hiral Oraon,India,Haryana,Female,2004-08-28,2023-05-16,0,32.0,0.0,1.0,115.0,22,low,0
7304-AJIZI,2023-04-02,Paid,2026-10-13,Standard,Monthly,,,12.49,619,38,0,Manoj Kumar Pillai,India,Himachal Pradesh,Male,1966-02-18,2025-12-21,0,60.0,0.0,1.0,1264.0,60,low,0
4066-NAGCK,2022-12-03,Paid,2026-10-13,Basic,Monthly,,,9.87,528,48,0,Somesh Devi Gupta,India,Rajasthan,Male,1994-10-15,2026-08-16,0,49.0,0.0,5.0,1384.0,31,low,0
5343-SMHQD,2026-01-26,Paid,2027-01-26,Premium,Annual,,,23.38,156,10,0,Hiral Mukherjee,India,Karnataka,Female,1988-02-02,,0,,,,234.0,38,low,0
2180-QYJLB,2024-01-27,Referral,2026-10-13,Basic,Monthly,,,8.75,252,96,0,Eshan Nath Lakra,India,Maharashtra,Male,2002-06-05,2026-08-23,0,16.0,0.0,3.0,964.0,24,high,1
1506-RBTGB,2025-11-30,Paid,2026-09-26,Premium,Monthly,,,20.99,210,32,0,Asha Kohli,India,Madhya Pradesh,Female,1967-06-02,2026-08-24,0,100.0,0.0,4.0,291.0,59,low,0
7848-XHBQF,2025-07-15,Organic,2027-07-15,Standard,Annual,,,13.91,210,70,0,Pawan Solanki,India,Chhattisgarh,Male,1996-09-29,2025-10-28,0,51.0,0.0,4.0,429.0,29,high,1
7959-GRRRH,2022-07-28,Referral,2026-10-05,Standard,Monthly,,,14.54,663,61,0,Vijaya Bajwa,India,Uttar Pradesh,Female,1990-11-03,2026-07-08,0,28.0,0.0,5.0,1512.0,35,med,0
7748-ALVZL,2021-12-13,Paid,2026-12-12,Basic,Annual,,,9.89,702,12,0,Sheela Desai,India,Bihar,Female,2000-08-12,2022-02-03,0,30.0,1.0,1.0,1739.0,26,low,0
4289-YDVNX,2024-04-21,Paid,2027-04-21,Standard,Annual,,,14.65,484,41,0,Archana Krishnan,India,Chandigarh,Female,1994-06-12,2026-05-09,0,99.0,0.0,1.0,879.0,32,low,0
7385-KSKJD,2025-06-22,Organic,2026-06-26,Standard,Monthly,2026-06-26,Personal reasons,17.4,188,49,1,Ananya Jain,India,Manipur,Female,1991-02-26,2026-04-03,0,55.0,1.0,6.0,369.0,35,low,0
6098-BKWBY,2021-09-18,Organic,2026-09-17,Premium,Annual,,,23.02,1263,5,0,Pooja Nath Mishra,India,West Bengal,Female,1984-11-16,2025-06-19,0,63.0,0.0,2.0,1825.0,41,low,0
6116-ULATK,2023-12-26,Paid,2026-10-11,Standard,Monthly,,,15.84,627,16,0,Manish Mehta,India,Mizoram,Male,1996-04-14,2025-01-01,0,67.0,0.0,2.0,996.0,30,low,0
0802-XOEKH,2023-08-13,Paid,2026-02-08,Standard,Monthly,2026-02-08,Switched to competitor,16.07,497,36,1,Gayatri Bhardwaj,India,Chhattisgarh,Female,1973-05-03,2024-08-30,0,60.0,1.0,2.0,910.0,53,low,0
1231-FXMFX,2022-06-05,Organic,2026-10-12,Standard,Monthly,,,15.09,802,44,0,Sushma Mukherjee,India,Haryana,Female,1978-01-14,2026-08-11,0,52.0,0.0,1.0,1565.0,48,low,0
6034-GOXTK,2026-05-03,Paid,2026-09-30,Standard,Monthly,,,16.56,63,66,0,Lipika Rani Desai,India,Nagaland,Female,1976-05-28,2026-07-29,0,86.0,1.0,3.0,137.0,50,med,0
8670-QWFHG,2025-04-06,Organic,2027-04-06,Basic,Annual,,,7.08,109,5,0,Urmila Kaur,India,Karnataka,Female,1970-07-28,2025-04-09,0,66.0,1.0,1.0,529.0,56,low,0
0002-BYYNM,2024-05-10,Organic,2027-05-10,Standard,Annual,,,14.38,507,23,0,Damini Prasad Iyer,India,Telangana,Female,1967-09-09,2026-07-24,0,54.0,0.0,1.0,860.0,59,low,0
0022-UGXQH,2022-05-03,Paid,2023-12-17,Basic,Monthly,2023-12-17,Too expensive,9.09,186,66,1,Chandan Murthy,India,Uttar Pradesh,Male,1981-10-09,2023-07-28,0,68.0,0.0,2.0,593.0,44,med,0
6358-GUANZ,2025-02-11,Paid,2025-09-04,Basic,Monthly,2025-09-04,No longer interested,8.82,53,36,1,Megha Phukan,India,Haryana,Female,1987-08-28,2025-08-17,0,53.0,0.0,3.0,205.0,39,low,0
5036-BFXQC,2023-01-08,Referral,2027-01-07,Standard,Annual,,,12.16,508,9,0,Yogesh Kumar Rana,India,Himachal Pradesh,Male,1976-03-18,2026-09-12,0,26.0,0.0,3.0,1348.0,50,low,0
4785-TNFZI,2025-02-15,Organic,2025-10-29,Basic,Annual,2025-10-29,Poor content quality,8.75,74,1,1,Anurag Nath Bajwa,India,Telangana,Male,1964-03-28,,0,,,,256.0,62,low,0
6832-XBPXB,2021-11-25,Referral,2026-11-24,Basic,Annual,,,9.38,517,2,0,Harish Kumar Sarkar,India,Punjab,Male,1980-07-12,2025-10-24,0,61.0,1.0,6.0,1757.0,46,low,0
5394-EQNMI,2023-04-03,Organic,2027-04-02,Basic,Annual,,,7.01,380,13,0,Sadhana Kumari Goel,India,Maharashtra,Female,2001-06-21,2025-09-01,0,53.0,0.0,2.0,1263.0,25,low,0
6228-JVVLB,2023-02-18,Paid,2027-02-17,Basic,Annual,,,8.84,442,1,0,Rikim Rana,India,Arunachal Pradesh,Female,1976-01-15,,0,,,,1307.0,50,low,0
6730-GQKJM,2025-06-13,Paid,2026-10-06,Basic,Monthly,,,8.76,129,16,0,Chetan Bhatia,India,Himachal Pradesh,Male,1978-08-31,2026-05-01,0,77.0,1.0,2.0,461.0,48,low,0
4295-TRYHS,2025-08-23,Organic,2026-09-17,Basic,Monthly,,,7.77,119,14,0,Reyansh Lal Gowda,India,Tripura,Male,1970-02-22,2026-03-29,0,85.0,0.0,2.0,390.0,56,low,0
2997-AYHRD,2024-04-08,Paid,2027-04-08,Standard,Annual,,,14.65,527,22,0,Parth Bansal,India,Rajasthan,Male,1973-07-30,2026-07-12,0,67.0,0.0,5.0,892.0,53,low,0
1060-QMOEL,2024-04-24,Paid,2027-04-24,Standard,Annual,,,13.33,405,10,0,Sanjay Trivedi,India,Bihar,Male,1963-12-30,2025-11-04,0,34.0,0.0,2.0,876.0,62,low,0
3837-DLXGO,2022-10-13,Paid,2026-09-22,Basic,Monthly,,,7.91,411,3,0,Kailash Nath Dubey,India,Andhra Pradesh,Male,1985-05-12,2025-07-22,0,77.0,0.0,2.0,1435.0,41,low,0
3043-GDWPI,2023-11-17,Paid,2025-12-09,Basic,Monthly,2025-12-09,Poor customer support,8.43,199,5,1,Deepa Rathore,India,Madhya Pradesh,Female,1999-09-12,2025-09-23,0,94.0,0.0,3.0,753.0,27,low,0
0073-MVVXB,2024-03-21,Organic,2026-10-07,Basic,Monthly,,,8.58,321,22,0,Archana Raj Chatterjee,India,Kerala,Female,1975-04-28,2025-01-29,0,47.0,1.0,1.0,910.0,51,low,0
9880-GUYCP,2024-08-20,Paid,2027-08-20,Standard,Annual,,,12.48,319,36,0,Alka Prasad Singh,India,Delhi,Female,1985-11-05,2026-08-04,0,34.0,0.0,3.0,758.0,40,low,0
0186-VKJQC,2026-04-02,Paid,2026-04-28,Basic,Monthly,2026-04-28,No longer interested,7.93,9,53,1,Pranav Deshmukh,India,Mizoram,Male,1973-04-02,2026-04-21,0,13.0,1.0,4.0,26.0,53,med,0
1493-QKHZR,2024-08-25,Paid,2027-08-25,Basic,Annual,,,8.01,248,3,0,Kavya Agarwal,India,Goa,Female,2007-01-31,2026-03-02,0,92.0,0.0,1.0,753.0,19,low,0
6401-SFAXL,2024-08-17,Organic,2027-08-17,Basic,Annual,,,9.3,295,88,0,Tushar Shinde,India,Jammu and Kashmir,Male,1997-01-20,2025-01-07,0,7.0,1.0,2.0,761.0,29,high,1
6499-CQJND,2021-10-06,Organic,2026-10-05,Premium,Annual,,,23.43,1574,5,0,Mira Kumari Venkatesh,India,Telangana,Female,1991-01-05,2025-10-11,0,41.0,0.0,4.0,1807.0,35,low,0
7909-IPQCS,2025-05-05,Organic,2026-09-27,Premium,Monthly,,,21.28,438,39,0,Akash Devi Negi,India,Puducherry,Male,1989-02-23,2026-07-22,0,24.0,0.0,4.0,500.0,37,low,0
2563-JDGSX,2021-09-28,Paid,2024-05-06,Basic,Monthly,2024-05-06,No longer interested,8.83,348,11,1,Niranjan Anand,India,Uttarakhand,Male,1967-10-31,2023-06-03,0,63.0,1.0,5.0,951.0,58,low,0
5049-PLRLL,2024-06-06,Organic,2027-06-06,Basic,Annual,,,7.05,222,2,0,Aarav Negi,India,Jammu and Kashmir,Male,1967-08-08,2025-04-20,0,49.0,0.0,2.0,833.0,59,low,0
1754-BJJUN,2021-09-17,Referral,2026-09-16,Premium,Annual,,,20.44,1489,52,0,Rohan Rani Baruah,India,Rajasthan,Male,1963-07-05,2025-01-18,0,53.0,1.0,1.0,1826.0,63,med,0
1087-ZTVFZ,2022-10-01,Organic,2026-10-10,Standard,Monthly,,,14.21,863,10,0,Kanika Malhotra,India,Madhya Pradesh,Female,1977-03-27,2026-06-07,0,47.0,0.0,6.0,1447.0,49,low,0
5305-XHVDN,2023-10-26,Paid,2026-10-10,Standard,Monthly,,,17.01,571,53,0,Nandini Bai Pawar,India,Haryana,Female,2005-05-31,2025-07-20,0,86.0,0.0,1.0,1057.0,21,med,0
2641-QHIJU,2025-01-20,Paid,2026-10-12,Standard,Monthly,,,15.53,367,30,0,Preeti Dutt,India,Andhra Pradesh,Female,1968-01-27,2026-08-29,0,39.0,0.0,4.0,605.0,58,low,0
4129-ZQKUG,2024-04-20,Paid,2026-10-07,Basic,Monthly,,,8.45,264,8,0,Deepika Kumari Thakur,India,Arunachal Pradesh,Female,2004-05-20,2026-04-11,0,59.0,0.0,1.0,880.0,22,low,0
4155-IZWYX,2022-09-23,Paid,2023-04-30,Basic,Monthly,2023-04-30,Technical issues,7.43,60,68,1,Krishna Raj Naidu,India,Sikkim,Male,1976-01-20,2023-03-24,0,73.0,1.0,3.0,219.0,50,med,0
3723-PBBOH,2023-11-08,Organic,2026-11-07,Basic,Annual,,,9.82,330,11,0,Anjali Dutta,India,Tamil Nadu,Female,1966-02-10,2025-10-04,0,52.0,0.0,1.0,1044.0,60,low,0
3990-SLBDR,2024-10-14,Referral,2026-10-14,Basic,Annual,,,7.08,181,4,0,Shreya Trivedi,India,Nagaland,Female,1977-04-15,,0,,,,703.0,49,low,0
9861-YTGXB,2024-01-31,Paid,2026-09-17,Premium,Monthly,,,22.93,793,16,0,Tushar Kumar Khanna,India,Telangana,Male,1991-01-08,,0,,,,960.0,35,low,0
8491-PNQVE,2026-08-07,Paid,2027-08-07,Basic,Annual,,,9.24,10,2,0,Shreya Saxena,India,Puducherry,Female,2008-02-23,2026-09-07,0,49.0,1.0,6.0,41.0,18,low,0
1318-TLFCG,2022-11-22,Paid,2026-04-14,Basic,Monthly,2026-04-14,No longer interested,7.74,316,33,1,Vishal Goel,India,Odisha,Male,1984-11-08,2026-02-12,0,61.0,0.0,4.0,1239.0,41,low,0
4346-HYXCN,2024-02-16,Organic,2027-02-15,Basic,Annual,,,9.97,373,13,0,Darshan Chauhan,India,Kerala,Male,1979-05-24,2025-09-07,0,63.0,0.0,1.0,944.0,47,low,0
5383-PJWXZ,2021-10-31,Referral,2026-10-30,Basic,Annual,,,8.47,524,5,0,Zara Murthy,India,Karnataka,Female,1987-09-27,2025-04-01,0,77.0,0.0,2.0,1782.0,39,low,0
6415-QCXDA,2023-03-27,Paid,2027-03-26,Premium,Annual,,,20.96,1119,5,0,Yash Sinha,India,Karnataka,Male,1996-04-19,2025-03-01,0,89.0,1.0,2.0,1270.0,30,low,0
0764-BPJVV,2024-12-28,Paid,2026-12-28,Standard,Annual,,,13.43,245,14,0,Shashank Devi Iyer,India,Uttar Pradesh,Male,2000-11-13,2026-05-19,0,47.0,0.0,2.0,628.0,25,low,0
1636-DUQHI,2022-06-20,Organic,2027-06-19,Standard,Annual,,,13.77,683,29,0,Saanvi Nath Sinha,India,Nagaland,Female,1975-09-13,,0,,,,1550.0,51,low,0
7800-WQAKL,2022-02-20,Referral,2025-12-12,Standard,Monthly,2025-12-12,Poor customer support,13.76,615,60,1,Rajat Gill,India,Bihar,Male,2000-07-24,2024-12-16,0,12.0,1.0,6.0,1391.0,26,med,0
7144-AFTZA,2025-08-09,Organic,2027-08-09,Basic,Annual,,,9.23,109,22,0,Radha Chandra,India,Punjab,Female,1977-07-27,2026-08-22,0,30.0,0.0,4.0,404.0,49,low,0
9470-YHFSM,2023-06-23,Organic,2027-06-22,Premium,Annual,,,24.37,1200,14,0,Manish Chandra,India,Telangana,Male,1976-10-24,2026-02-01,0,78.0,0.0,1.0,1182.0,49,low,0
1411-KQJHL,2023-12-25,Referral,2026-12-24,Premium,Annual,,,20.98,657,7,0,Shailendra Lal Bora,India,Tamil Nadu,Male,2005-09-04,2026-06-29,0,59.0,1.0,2.0,997.0,21,low,0
8548-EVRTE,2022-07-14,Paid,2025-12-17,Premium,Annual,2025-12-17,Too expensive,24.03,895,66,1,Devika Rani Kale,India,Jammu and Kashmir,Female,1987-05-16,2024-11-09,0,0.0,0.0,3.0,1252.0,39,med,0
2532-SZSPJ,2026-02-25,Paid,2026-09-23,Basic,Monthly,,,9.97,76,34,0,Parth Kumari Bhatia,India,Gujarat,Male,1999-08-07,2026-08-17,0,47.0,1.0,4.0,204.0,27,low,0
2430-UTLFQ,2024-10-20,Paid,2025-02-20,Standard,Monthly,2025-02-20,No longer interested,15.53,61,50,1,Hardik Desai,India,Jammu and Kashmir,Male,1972-12-01,2025-01-22,0,22.0,0.0,3.0,123.0,53,med,0
8199-ZHAGT,2023-08-04,Referral,2026-09-17,Premium,Monthly,,,21.17,804,7,0,Atul Kaur,India,Mizoram,Male,1988-03-17,2025-07-16,0,79.0,0.0,3.0,1140.0,38,low,0
7086-IQCKU,2024-04-09,Paid,2026-09-26,Basic,Monthly,,,7.34,255,34,0,Chandan Roy,India,Karnataka,Male,1971-12-29,2026-06-27,0,43.0,1.0,5.0,891.0,54,low,0
0174-KMZAO,2021-10-14,Paid,2026-10-13,Basic,Annual,,,7.76,493,8,0,Arvind Raj Venkatesh,India,Jammu and Kashmir,Male,1966-01-14,2023-11-20,0,91.0,0.0,1.0,1799.0,60,low,0
5617-KYFRK,2023-04-12,Paid,2026-09-23,Premium,Monthly,,,23.64,1046,2,0,Ranjit Nath Baruah,India,Tripura,Male,2007-07-10,2024-12-28,0,82.0,0.0,2.0,1254.0,19,low,0
5769-PCHKY,2022-07-12,Organic,2026-08-25,Basic,Monthly,2026-08-25,Poor content quality,9.35,521,26,1,Somesh Prasad Bajwa,India,Meghalaya,Male,1991-05-22,2026-05-06,0,59.0,0.0,3.0,1505.0,35,low,0
2396-JQVVM,2024-06-11,Paid,2026-09-29,Standard,Monthly,,,17.48,594,14,0,Jyoti Devi Gill,India,Assam,Female,1985-12-20,,0,,,,828.0,40,low,0
0044-UUJRI,2025-10-26,Organic,2026-10-26,Basic,Annual,,,8.44,84,5,0,Sushma Negi,India,Andhra Pradesh,Female,1981-07-08,2026-03-28,0,77.0,0.0,1.0,326.0,45,low,0
9250-XUDVQ,2024-04-20,Organic,2026-10-07,Premium,Monthly,,,21.38,666,4,0,Aditya Desai,India,Jharkhand,Male,1999-08-11,2026-01-01,0,82.0,0.0,2.0,880.0,27,low,0
7404-JDXUE,2023-12-09,Paid,2026-09-24,Standard,Monthly,,,14.98,501,59,0,Kamal Baruah,India,Kerala,Male,1989-08-07,2026-02-28,0,34.0,0.0,5.0,1013.0,37,med,0
9094-DKVMO,2023-01-01,Organic,2026-10-12,Basic,Monthly,,,7.24,361,10,0,Yamini Das,India,Haryana,Female,2008-02-15,2025-11-13,0,30.0,0.0,4.0,1355.0,18,low,0
7667-SMHML,2025-05-11,Paid,2026-10-03,Basic,Monthly,,,7.68,117,29,0,Irfan Kumar Baruah,India,Karnataka,Male,1979-01-26,,0,,,,494.0,47,low,0
7932-MXASQ,2026-04-17,Organic,2027-04-17,Basic,Annual,,,9.54,59,43,0,Radha Lal Mahato,India,Bihar,Female,1978-01-14,2026-08-28,0,29.0,1.0,1.0,153.0,48,low,0
4737-HVKNH,2024-02-19,Referral,2026-04-04,Basic,Monthly,2026-04-04,No longer interested,8.15,223,42,1,Vandana Barman,India,Uttar Pradesh,Female,1980-04-08,2025-09-24,0,71.0,1.0,2.0,775.0,46,low,0
0656-KOKOK,2024-07-20,Paid,2026-10-08,Premium,Monthly,,,24.3,701,45,0,Vivaan Lal Yadav,India,Nagaland,Male,1974-12-24,2026-05-22,0,59.0,1.0,2.0,789.0,51,low,0
3481-BQQER,2024-01-25,Paid,2027-01-24,Basic,Annual,,,9.0,344,37,0,Vinod Menon,India,Maharashtra,Male,1996-04-10,2026-07-13,0,16.0,1.0,5.0,966.0,30,low,0
4948-EAAOP,2023-11-18,Paid,2026-10-03,Standard,Monthly,,,16.05,664,46,0,Rudra Jadhav,India,Uttar Pradesh,Male,1970-12-10,2026-04-22,0,12.0,0.0,2.0,1034.0,55,low,0
